#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  6.66e+07  |1284896563|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.95027667|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.73858619|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.03255173|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.63135941|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.81051769|  PASSED  
        diehard_opso|   0|   2097152|     100|0.26468775|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.80043573|  PASSED  
         diehard_dna|   0|   2097152|     100|0.74255545|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.36914445|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.88376976|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.51744758|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.92237771|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.41536408|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.78258441|  PASSED  
        diehard_sums|   0|       100|     100|0.12750071|  PASSED  
        diehard_runs|   0|    100000|     100|0.89582845|  PASSED  
        diehard_runs|   0|    100000|     100|0.86084398|  PASSED  
       diehard_craps|   0|    200000|     100|0.24802885|  PASSED  
       diehard_craps|   0|    200000|     100|0.68739397|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.10375197|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.62160562|  PASSED  
         sts_monobit|   1|    100000|     100|0.63971167|  PASSED  
            sts_runs|   2|    100000|     100|0.99983982|   WEAK   
          sts_serial|   1|    100000|     100|0.52748645|  PASSED  
          sts_serial|   2|    100000|     100|0.58169620|  PASSED  
          sts_serial|   3|    100000|     100|0.57086694|  PASSED  
          sts_serial|   3|    100000|     100|0.72180832|  PASSED  
          sts_serial|   4|    100000|     100|0.02730770|  PASSED  
          sts_serial|   4|    100000|     100|0.14792049|  PASSED  
          sts_serial|   5|    100000|     100|0.60293992|  PASSED  
          sts_serial|   5|    100000|     100|0.41172004|  PASSED  
          sts_serial|   6|    100000|     100|0.32210532|  PASSED  
          sts_serial|   6|    100000|     100|0.36838811|  PASSED  
          sts_serial|   7|    100000|     100|0.09216662|  PASSED  
          sts_serial|   7|    100000|     100|0.09763835|  PASSED  
          sts_serial|   8|    100000|     100|0.60881960|  PASSED  
          sts_serial|   8|    100000|     100|0.42317363|  PASSED  
          sts_serial|   9|    100000|     100|0.66421581|  PASSED  
          sts_serial|   9|    100000|     100|0.84790663|  PASSED  
          sts_serial|  10|    100000|     100|0.56432149|  PASSED  
          sts_serial|  10|    100000|     100|0.56962188|  PASSED  
          sts_serial|  11|    100000|     100|0.23224565|  PASSED  
          sts_serial|  11|    100000|     100|0.35908228|  PASSED  
          sts_serial|  12|    100000|     100|0.90067199|  PASSED  
          sts_serial|  12|    100000|     100|0.18404524|  PASSED  
          sts_serial|  13|    100000|     100|0.96701871|  PASSED  
          sts_serial|  13|    100000|     100|0.89165105|  PASSED  
          sts_serial|  14|    100000|     100|0.18869437|  PASSED  
          sts_serial|  14|    100000|     100|0.12323441|  PASSED  
          sts_serial|  15|    100000|     100|0.29203298|  PASSED  
          sts_serial|  15|    100000|     100|0.87668360|  PASSED  
          sts_serial|  16|    100000|     100|0.62311087|  PASSED  
          sts_serial|  16|    100000|     100|0.62347428|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.17718302|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.29773991|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.20600973|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.49591281|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.64405782|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.79045727|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.10654600|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.34060499|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.00086260|   WEAK   
         rgb_bitdist|  10|    100000|     100|0.94865868|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.74118022|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.32425221|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.45917958|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.94366061|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.45535706|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.60279470|  PASSED  
    rgb_permutations|   2|    100000|     100|0.76572585|  PASSED  
    rgb_permutations|   3|    100000|     100|0.86336851|  PASSED  
    rgb_permutations|   4|    100000|     100|0.48912882|  PASSED  
    rgb_permutations|   5|    100000|     100|0.85949767|  PASSED  
      rgb_lagged_sum|   0|   1000000|     100|0.82688181|  PASSED  
      rgb_lagged_sum|   1|   1000000|     100|0.20000724|  PASSED  
      rgb_lagged_sum|   2|   1000000|     100|0.80140486|  PASSED  
      rgb_lagged_sum|   3|   1000000|     100|0.08643970|  PASSED  
      rgb_lagged_sum|   4|   1000000|     100|0.23186172|  PASSED  
      rgb_lagged_sum|   5|   1000000|     100|0.73168059|  PASSED  
      rgb_lagged_sum|   6|   1000000|     100|0.25746835|  PASSED  
      rgb_lagged_sum|   7|   1000000|     100|0.94521424|  PASSED  
      rgb_lagged_sum|   8|   1000000|     100|0.94534363|  PASSED  
      rgb_lagged_sum|   9|   1000000|     100|0.10800599|  PASSED  
      rgb_lagged_sum|  10|   1000000|     100|0.56819716|  PASSED  
      rgb_lagged_sum|  11|   1000000|     100|0.59781544|  PASSED  
      rgb_lagged_sum|  12|   1000000|     100|0.92002028|  PASSED  
      rgb_lagged_sum|  13|   1000000|     100|0.95799685|  PASSED  
      rgb_lagged_sum|  14|   1000000|     100|0.55679770|  PASSED  
      rgb_lagged_sum|  15|   1000000|     100|0.20494032|  PASSED  
      rgb_lagged_sum|  16|   1000000|     100|0.75074945|  PASSED  
      rgb_lagged_sum|  17|   1000000|     100|0.95823548|  PASSED  
      rgb_lagged_sum|  18|   1000000|     100|0.32211072|  PASSED  
      rgb_lagged_sum|  19|   1000000|     100|0.87457911|  PASSED  
      rgb_lagged_sum|  20|   1000000|     100|0.00152034|   WEAK   
      rgb_lagged_sum|  21|   1000000|     100|0.73216384|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.50549483|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.68315383|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.97659309|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.97099533|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.44526342|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.79717745|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.28118126|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.33017365|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.17722315|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.03852758|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.81021362|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.29419565|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.17736122|  PASSED  
             dab_dct| 256|     50000|       1|0.66485830|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.89317873|  PASSED  
        dab_filltree|  32|  15000000|       1|0.96324493|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.73398542|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.08356453|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.84498608|  PASSED  
